1	6	5.685686740562564
2	6	0.6202915292046958
3	7	-0.5645459473328538
4	8	-0.8445253728102954
5	8	-0.9143872217092333
6	9	-0.9267711686246488
7	10	-0.9335447288997256
8	10	-0.9346080612692405
9	11	-0.9317927986345564
10	12	-0.934936964354302
11	12	-0.9349591342377773
12	13	-0.9318963848548611
13	14	-0.934965724685229
14	14	-0.9349661546426165
15	15	-0.9318976600316551
16	16	-0.9349654315756879
17	16	-0.9349639147489934
18	17	-0.9318903021302218
19	18	-0.934947773403151
20	18	-0.9348700155834033
21	19	-0.9315537732709083
22	20	-0.933559889824745
23	20	-0.9296791323843139
24	21	-0.912217590863805
25	22	-0.8578049124509707
26	22	-0.5622841093118764
27	23	0.5823123238091308
28	24	5.674411167331073
