1	6	33.92810146238375
2	6	-1.0457673714846958
3	7	-0.9829107384199723
4	8	-0.9790516148410553
5	8	-0.9828348330759318
6	9	-0.9833633831991454
7	9	-0.9817003706366565
8	10	-0.9837147756008688
9	11	-0.9816873351832064
10	11	-0.9831742610766847
11	12	-0.9829872569296692
12	12	-0.9803621509753127
13	13	-0.9829777851388721
14	14	-0.983172085161931
15	14	-0.981698131122196
16	15	-0.9837009185661979
17	16	-0.9817020587183366
18	16	-0.983210533307199
19	17	-0.9832115105561214
20	17	-0.9817038290521121
21	18	-0.9837004070078508
22	19	-0.9816963681769848
23	19	-0.9831680436989818
24	20	-0.9829762108404647
25	21	-0.9803585013198591
26	21	-0.9829759169435581
27	22	-0.9831682241300644
28	22	-0.9816971117427351
29	23	-0.9837004470636413
30	24	-0.981696675830576
31	24	-0.9831678635248429
32	25	-0.9829760422043444
33	25	-0.9803591623768133
34	26	-0.9829757027675199
35	27	-0.9831681172876159
36	27	-0.9816970319859422
37	28	-0.9837001778978068
38	29	-0.9817031765301834
39	29	-0.983210198274048
40	30	-0.9832103068558007
41	30	-0.9817033389546164
42	31	-0.9837001678771381
43	32	-0.98169685803082
44	32	-0.983167942707924
45	33	-0.9829757650122279
46	34	-0.9803588908735484
47	34	-0.9829757307418094
48	35	-0.9831679778712936
49	35	-0.9816969123960693
50	36	-0.983700164212397
51	37	-0.9817032840408766
52	37	-0.983210252072219
53	38	-0.9832102290196314
54	38	-0.9817032426502335
55	39	-0.9837001685702564
56	40	-0.9816969644248733
57	40	-0.9831680364244391
58	41	-0.9829757171178433
59	42	-0.9803590569844248
60	42	-0.9829759399676564
61	43	-0.9831678813629788
62	43	-0.9816968010449967
63	44	-0.9837004103133908
64	45	-0.9816969831484954
65	45	-0.9831680100194534
66	46	-0.9829758872185612
67	46	-0.9803587843084494
68	47	-0.9829758790497285
69	48	-0.983167992176792
70	48	-0.9816967218532482
71	49	-0.9837002287386158
72	50	-0.9817034684695097
73	50	-0.9832105701922491
74	51	-0.9832102615971043
75	51	-0.9817029178022854
76	52	-0.9837003103650958
77	53	-0.9816972517131801
78	53	-0.9831686942922935
79	54	-0.9829759479797828
80	55	-0.9803596167518336
81	55	-0.9829770679455747
82	56	-0.9831682941989803
83	56	-0.9816957524667929
84	57	-0.9837011732655154
85	58	-0.9816978410498929
86	58	-0.9831718121267046
87	59	-0.982977995878787
88	59	-0.980354734497
89	60	-0.9829862865079287
90	61	-0.983174082074487
91	61	-0.9816886117884387
92	62	-0.983713418024238
93	63	-0.9817077680953843
94	63	-0.9833537332405637
95	64	-0.9832784197417593
96	64	-0.9815410151913793
97	65	-0.9846068383953366
98	66	-0.9836113630767136
99	66	-1.045039197718362
100	67	26.260556817435923
