1	-4.348769272164083
2	-4.3452456609106065
3	-4.335962715471481
4	-4.3271537758459315
5	-4.311545044414895
6	-4.2983952312461815
7	-4.277608388525576
8	-4.262266394785249
9	-4.240086008284895
10	-4.229146362146307
11	-4.155512990976978
12	-4.0584134887772985
13	-4.036094829251582
14	-4.008405063123802
15	-3.971563800253789
16	-3.9339960325638303
17	-3.891190977731598
18	-3.8486999013452943
19	-3.8050799206076507
20	-3.7636273047448414
21	-3.7317262442388612
22	-3.6015049432645494
23	-3.5083310565740025
24	-3.436585298923988
25	-3.395632893353695
26	-3.344992979493915
27	-3.290523286591851
28	-3.234443452809084
29	-3.1857056641173367
30	-3.175827803094789
31	-3.1624684573838397
32	-3.1620988304505957
33	-3.1585101160624003
34	-3.1567881806558833
35	-3.1508530419933067
36	-3.1484171397429255
37	-3.1411810073745867
38	-3.137342316959601
39	-3.1289104330850197
40	-3.118957366788715
41	-3.11620280777777
42	-3.1094142278235757
43	-3.09672470409071
44	-3.088677171733597
45	-3.0748528047885584
46	-3.069691459271218
47	-3.0635862334935227
48	-3.0536229386555487
49	-3.041973708081744
50	-3.035951255640904
51	-3.0288104806702383
52	-3.0183914981419173
53	-2.969938318817663
54	-2.920301744439352
55	-2.8335760977147473
56	-2.7926113950370874
57	-2.720738973113967
58	-2.664382352229061
59	-2.592229142252407
60	-2.53379706856063
61	-2.4625198479590473
62	-2.403407054854826
63	-2.3343790514341274
64	-2.2763160162212817
65	-2.2130880794820342
66	-2.167657943253224
67	-2.0617025201420036
68	-2.0050024392547208
69	-1.9544830699164324
70	-1.9001142596761964
71	-1.8513993917380294
72	-1.8027529669215632
73	-1.762425660109268
74	-1.7239042887062626
75	-1.6959943890495746
76	-1.6718811817105248
77	-1.6599639192864695
78	1.659963919286466
79	1.6718811817105212
80	1.695994389049575
81	1.7239042887062612
82	1.7624256601092667
83	1.80275296692156
84	1.8513993917380276
85	1.9001142596761964
86	1.9544830699164306
87	2.005002439254717
88	2.061702520142001
89	2.1676579432532233
90	2.213088079482032
91	2.2763160162212785
92	2.3343790514341256
93	2.403407054854824
94	2.462519847959047
95	2.533797068560629
96	2.592229142252407
97	2.66438235222906
98	2.7207389731139644
99	2.7926113950370888
100	2.8335760977147473
101	2.9203017444393513
102	2.9699383188176673
103	3.018391498141918
104	3.0288104806702414
105	3.0359512556408967
106	3.041973708081744
107	3.053622938655546
108	3.0635862334935213
109	3.069691459271218
110	3.074852804788555
111	3.088677171733597
112	3.096724704090711
113	3.1094142278235775
114	3.1162028077777713
115	3.1189573667887176
116	3.1289104330850197
117	3.137342316959603
118	3.1411810073745903
119	3.1484171397429277
120	3.1508530419933094
121	3.1567881806558837
122	3.1585101160624003
123	3.162098830450598
124	3.1624684573838406
125	3.1758278030947906
126	3.1857056641173385
127	3.2344434528090833
128	3.290523286591851
129	3.3449929794939144
130	3.3956328933536937
131	3.436585298923987
132	3.5083310565740047
133	3.601504943264551
134	3.731726244238857
135	3.7636273047448383
136	3.805079920607647
137	3.848699901345294
138	3.891190977731596
139	3.933996032563828
140	3.9715638002537896
141	4.008405063123801
142	4.036094829251582
143	4.058413488777296
144	4.1555129909769795
145	4.229146362146303
146	4.240086008284895
147	4.262266394785247
148	4.277608388525573
149	4.298395231246179
150	4.31154504441489
151	4.327153775845931
152	4.33596271547148
153	4.345245660910605
154	4.348769272164081
